R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 28
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0015
y-axis screen name: cdc13-1_DIL
y-axis libraries: SDLV4_384
y-axis client: DJW
y-axis user: APB
y-axis date: 2013/06/10
y-axis PI: 
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: 
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YPL086C	ELP3	0.000563446	0.0178227	-31.8437	16.3082	70.4952	4.07121	8.29692	8	8	t-test	E
YIR008C	PRI1	5.35711e-05	0.00529698	-31.7224	9.41136	60.2205	2.46885	8.38878	16	16	t-test	E
YBR055C	PRP6	0.0206211	0.159045	-31.6162	22.8075	79.6772	9.4552	10.9021	8	8	t-test	E
YCL061C	MRC1	0.000491557	0.0165669	-31.5386	12.8654	65.0082	5.57327	6.75654	10	8	t-test	E
YLR102C	APC9	0.0218361	0.164937	-31.4809	33.7142	95.4466	8.76694	12.4279	8	8	t-test	E
YOR322C	LDB19	0.00343655	0.0558206	-31.4277	25.5999	83.4895	1.32252	10.741	8	8	t-test	E
YNL106C	INP52	0.00137555	0.0309462	-31.3899	10.1292	60.7846	5.97687	7.43676	8	8	t-test	E
YJL089W	SIP4	0.0031403	0.0527096	-31.3584	25.3844	83.0725	5.7654	9.68766	8	8	t-test	E
YPL205C	YPL205C	0.004681	0.0685072	-31.2788	3.65538	51.1442	3.65538	11.4306	8	8	t-test	E
YDL076C	RXT3	0.00301229	0.0513585	-31.2492	26.4735	84.5069	6.27634	9.27836	10	8	t-test	E
YKL220C	FRE2	0.0115004	0.115436	-31.1962	21.0802	76.5335	8.17131	10.0889	8	8	t-test	E
YGR175C	ERG1	0.0178604	0.145636	-31.1416	28.6235	87.4971	6.75841	13.5638	8	8	t-test	E
YPL037C	EGD1	0.00311152	0.0524919	-31.083	27.3463	85.5415	3.18169	10.6368	8	8	t-test	E
YLL049W	LDB18	0.00458352	0.0673931	-31.062	21.8979	77.5341	1.71698	11.2399	8	8	t-test	E
YBL031W	SHE1	0.000807551	0.0220608	-31.0395	16.4384	69.5084	3.89238	8.66633	10	8	t-test	E
YPL174C	NIP100	0.00298756	0.0511181	-31.0362	16.5783	69.7085	3.74603	10.5039	8	8	t-test	E
YMR312W	ELP6	0.00249978	0.0467662	-30.9953	18.0956	71.8699	2.88703	10.2385	8	8	t-test	E
YKL062W	MSN4	0.0322801	0.201011	-30.9808	22.0001	77.5649	11.1253	8.61681	8	8	t-test	E
YPL146C	NOP53	0.00681845	0.0843101	-30.8917	24.4353	80.9997	3.92976	12.0272	8	8	t-test	E
YMR048W	CSM3	0.011164	0.113239	-30.8459	33.4181	94.0835	5.5242	12.6919	8	8	t-test	E
YJR053W	BFA1	0.000899117	0.0231174	-30.7649	19.3809	73.4143	3.39888	8.72252	8	8	t-test	E
